"","time","distance","elevation","pace","heartrate","cadence"
"1","21s",0,98,266,111,186
"2","29s",0.1,98,263,129,180
"3","38s",0.1,98,249,135,182
"4","47s",0.1,96,252,142,178
"5","59s",0.2,94,258,141,180
"6","1:08",0.2,93,261,140,182
"7","1:17",0.2,91,267,141,186
"8","1:29",0.3,90,280,139,182
"9","1:41",0.3,89,256,127,186
"10","1:54",0.4,89,286,131,178
"11","2:00",0.4,89,282,132,184
"12","2:12",0.4,90,277,136,182
"13","2:27",0.5,90,279,137,178
"14","2:33",0.5,90,278,136,178
"15","2:45",0.6,91,265,136,182
"16","2:54",0.6,92,261,140,188
"17","3:06",0.6,95,260,139,186
"18","3:17",0.7,96,288,139,186
"19","3:24",0.7,97,257,141,182
"20","3:37",0.7,99,301,139,180
"21","3:49",0.8,99,328,138,186
"22","4:04",0.8,98,315,141,182
"23","4:16",0.9,98,301,141,186
"24","4:30",0.9,98,304,141,188
"25","4:37",0.9,98,259,142,188
"26","4:48",1,98,283,143,186
"27","5:00",1,101,278,142,180
"28","5:13",1.1,101,288,140,180
"29","5:19",1.1,102,255,142,180
"30","5:31",1.1,104,307,170,182
"31","5:42",1.2,106,309,166,186
"32","5:59",1.2,109,329,154,186
"33","6:06",1.2,109,325,153,186
"34","6:21",1.3,111,323,152,182
"35","6:35",1.3,113,321,155,182
"36","6:42",1.3,114,316,149,182
"37","6:56",1.4,115,312,151,186
"38","7:09",1.4,115,309,151,186
"39","7:20",1.5,116,300,154,186
"40","7:33",1.5,116,257,153,186
"41","7:46",1.6,116,306,153,186
"42","7:53",1.6,117,301,156,186
"43","8:05",1.6,119,305,152,188
"44","8:19",1.7,120,321,152,186
"45","8:33",1.7,122,321,151,182
"46","8:41",1.7,121,309,160,186
"47","8:53",1.8,122,259,172,188
"48","9:05",1.8,123,258,168,188
"49","9:19",1.9,124,305,159,188
"50","9:31",1.9,125,256,161,186
"51","9:41",1.9,126,251,160,186
"52","9:51",2,128,252,166,186
"53","10:01",2,128,284,163,186
"54","10:13",2,129,278,162,188
"55","10:23",2.1,130,275,158,188
"56","10:34",2.1,130,277,161,186
"57","10:46",2.2,131,283,163,188
"58","10:53",2.2,131,282,160,188
"59","11:03",2.2,132,277,183,188
"60","11:17",2.3,132,288,189,190
"61","11:26",2.3,132,289,186,190
"62","11:39",2.3,133,283,186,186
"63","11:51",2.4,133,278,188,188
"64","11:57",2.4,133,278,187,186
"65","12:09",2.5,133,279,186,188
"66","12:21",2.5,134,253,185,186
"67","12:35",2.5,134,302,186,182
"68","12:42",2.6,134,303,186,188
"69","12:54",2.6,135,253,190,190
"70","13:06",2.6,135,285,189,188
"71","13:18",2.7,137,257,189,188
"72","13:32",2.7,139,304,188,188
"73","13:39",2.8,141,303,190,188
"74","13:52",2.8,143,256,189,190
"75","14:04",2.8,145,256,191,188
"76","14:17",2.9,147,284,190,188
"77","14:25",2.9,148,279,185,190
"78","14:37",3,149,270,183,188
"79","14:43",3,150,272,184,188
"80","14:57",3,150,278,189,190
"81","15:08",3.1,151,277,188,188
"82","15:18",3.1,150,279,195,188
"83","15:30",3.1,150,273,194,186
"84","15:36",3.2,149,276,193,188
"85","15:48",3.2,147,281,191,188
"86","16:00",3.3,150,290,191,188
"87","16:12",3.3,150,259,187,188
"88","16:26",3.3,150,256,190,188
"89","16:32",3.4,151,302,188,188
"90","16:45",3.4,151,303,188,186
"91","16:59",3.5,151,301,191,188
"92","17:11",3.5,152,251,192,190
"93","17:17",3.5,153,287,191,188
"94","17:29",3.6,152,281,191,188
"95","17:38",3.6,153,273,190,188
"96","17:49",3.6,153,278,193,190
"97","18:01",3.7,154,278,191,188
"98","18:13",3.7,154,283,190,186
"99","18:25",3.8,154,288,192,188
"100","18:32",3.8,154,287,193,186
"101","18:44",3.8,154,288,192,190
"102","18:56",3.9,154,285,192,186
"103","19:08",3.9,154,286,191,188
"104","19:20",3.9,154,288,187,188
"105","19:32",4,153,290,187,186
"106","19:38",4,153,287,186,188
"107","19:49",4.1,153,282,191,188
"108","20:01",4.1,153,271,191,186
"109","20:10",4.1,153,267,189,186
"110","20:19",4.2,155,266,186,188
"111","20:31",4.2,156,273,189,188
"112","20:42",4.2,157,279,185,188
"113","20:52",4.3,157,280,189,186
"114","21:04",4.3,158,308,193,186
"115","21:18",4.4,159,317,192,186
"116","21:32",4.4,160,306,193,188
"117","21:38",4.4,161,258,195,188
"118","21:51",4.5,162,252,196,188
"119","22:03",4.5,163,302,193,188
"120","22:17",4.6,165,319,193,186
"121","22:24",4.6,165,326,192,186
"122","22:38",4.6,167,327,192,188
"123","22:55",4.7,169,322,190,182
"124","23:07",4.7,170,315,193,186
"125","23:19",4.8,171,305,191,188
"126","23:25",4.8,171,302,192,188
"127","23:39",4.8,172,304,192,188
"128","23:53",4.9,173,304,191,184
"129","24:05",4.9,173,287,193,186
"130","24:11",4.9,173,282,194,182
"131","24:23",5,173,278,195,188
"132","24:33",5,173,259,197,186
"133","24:47",5,173,309,193,186
"134","24:59",5.1,173,317,196,188
"135","25:12",5.1,173,313,190,188
"136","25:25",5.2,173,259,193,188
"137","25:31",5.2,173,282,193,188
"138","25:42",5.2,172,262,186,186
"139","25:50",5.3,172,255,184,186
"140","26:02",5.3,171,258,189,188
"141","26:14",5.4,169,261,192,182
"142","26:20",5.4,168,263,193,186
"143","26:30",5.4,167,264,196,188
"144","26:42",5.5,166,260,194,186
"145","26:54",5.5,164,257,191,182
"146","27:05",5.6,163,258,194,186
"147","27:11",5.6,162,260,194,186
"148","27:23",5.6,161,263,194,188
"149","27:35",5.7,159,262,195,188
"150","27:41",5.7,159,262,194,186
"151","27:53",5.7,157,261,194,186
"152","27:59",5.8,156,266,194,190
"153","28:10",5.8,154,274,196,186
"154","28:22",5.8,154,288,195,190
"155","28:35",5.9,153,251,195,188
"156","28:47",5.9,152,253,195,188
"157","28:54",6,152,289,195,188
"158","29:06",6,153,252,194,188
"159","29:19",6,153,288,196,186
"160","29:31",6.1,154,283,196,188
"161","29:43",6.1,154,278,197,188
"162","29:49",6.1,154,278,197,188
"163","30:01",6.2,154,277,198,190
"164","30:13",6.2,154,275,196,190
"165","30:25",6.3,154,279,197,190
"166","30:31",6.3,154,280,198,190
"167","30:43",6.3,154,280,199,190
"168","30:55",6.4,154,279,198,188
"169","31:03",6.4,153,279,196,188
"170","31:15",6.5,153,287,197,186
"171","31:26",6.5,152,270,196,186
"172","31:38",6.5,153,268,195,188
