time,distance,elevation,pace,heartrate,cadence
13s,"0,0 km",4 m,4:37/km,97 bpm,172 ppm
32s,"0,1 km",3 m,4:20/km,115 bpm,170 ppm
51s,"0,1 km",3 m,4:31/km,130 bpm,174 ppm
1:12,"0,2 km",4 m,4:27/km,133 bpm,172 ppm
1:32,"0,3 km",5 m,4:28/km,133 bpm,170 ppm
1:55,"0,4 km",5 m,5:01/km,135 bpm,176 ppm
2:16,"0,4 km",2 m,4:50/km,138 bpm,170 ppm
2:38,"0,5 km",4 m,4:43/km,139 bpm,170 ppm
2:59,"0,6 km",6 m,4:47/km,134 bpm,170 ppm
3:20,"0,7 km",9 m,4:43/km,132 bpm,172 ppm
3:42,"0,7 km",14 m,5:05/km,134 bpm,180 ppm
4:05,"0,8 km",20 m,4:58/km,139 bpm,174 ppm
4:26,"0,9 km",23 m,4:31/km,148 bpm,174 ppm
4:45,"1,0 km",21 m,3:44/km,147 bpm,174 ppm
5:02,"1,0 km",17 m,3:50/km,142 bpm,174 ppm
5:19,"1,1 km",13 m,3:39/km,138 bpm,176 ppm
5:35,"1,2 km",9 m,3:49/km,136 bpm,174 ppm
5:53,"1,3 km",8 m,4:01/km,129 bpm,174 ppm
6:11,"1,3 km",7 m,3:47/km,131 bpm,172 ppm
6:27,"1,4 km",5 m,3:23/km,135 bpm,176 ppm
6:43,"1,5 km",4 m,3:42/km,137 bpm,176 ppm
7:00,"1,6 km",0 m,4:07/km,138 bpm,174 ppm
7:19,"1,6 km",0 m,4:39/km,141 bpm,174 ppm
7:40,"1,7 km",3 m,4:07/km,146 bpm,176 ppm
7:57,"1,8 km",4 m,3:38/km,144 bpm,176 ppm
8:14,"1,9 km",6 m,4:04/km,140 bpm,174 ppm
8:33,"1,9 km",6 m,4:16/km,140 bpm,176 ppm
8:52,"2,0 km",6 m,3:53/km,142 bpm,174 ppm
9:09,"2,1 km",6 m,3:39/km,142 bpm,174 ppm
9:25,"2,2 km",6 m,3:52/km,142 bpm,174 ppm
9:43,"2,2 km",6 m,3:44/km,144 bpm,176 ppm
10:00,"2,3 km",6 m,3:54/km,144 bpm,174 ppm
10:17,"2,4 km",6 m,3:42/km,143 bpm,174 ppm
