time,distance,elevation,pace,heartrate,cadence
6s,"0,0 km",44 m,5:58/km,87 bpm,162 ppm
13s,"0,0 km",44 m,5:58/km,83 bpm,170 ppm
21s,"0,0 km",44 m,5:44/km,99 bpm,172 ppm
29s,"0,0 km",44 m,5:47/km,102 bpm,170 ppm
37s,"0,1 km",44 m,5:45/km,108 bpm,170 ppm
45s,"0,1 km",44 m,5:34/km,108 bpm,172 ppm
52s,"0,1 km",44 m,5:22/km,104 bpm,172 ppm
1:00,"0,1 km",44 m,5:34/km,108 bpm,172 ppm
1:07,"0,1 km",44 m,5:33/km,116 bpm,170 ppm
1:15,"0,2 km",44 m,5:17/km,117 bpm,170 ppm
1:23,"0,2 km",44 m,5:21/km,117 bpm,172 ppm
1:29,"0,2 km",44 m,5:12/km,118 bpm,172 ppm
1:36,"0,2 km",44 m,4:55/km,119 bpm,172 ppm
1:43,"0,3 km",44 m,4:54/km,115 bpm,172 ppm
1:50,"0,3 km",44 m,4:50/km,113 bpm,172 ppm
1:56,"0,3 km",43 m,4:47/km,113 bpm,172 ppm
2:03,"0,3 km",43 m,4:47/km,114 bpm,172 ppm
2:09,"0,4 km",43 m,4:49/km,115 bpm,170 ppm
2:16,"0,4 km",42 m,4:58/km,118 bpm,170 ppm
2:23,"0,4 km",42 m,5:11/km,118 bpm,172 ppm
2:30,"0,4 km",41 m,5:12/km,119 bpm,172 ppm
2:37,"0,4 km",41 m,5:15/km,116 bpm,172 ppm
2:45,"0,5 km",41 m,5:28/km,115 bpm,172 ppm
2:52,"0,5 km",40 m,5:18/km,114 bpm,172 ppm
3:00,"0,5 km",39 m,5:03/km,112 bpm,172 ppm
3:07,"0,5 km",39 m,4:55/km,111 bpm,172 ppm
3:13,"0,6 km",38 m,4:55/km,111 bpm,172 ppm
3:19,"0,6 km",38 m,4:49/km,111 bpm,172 ppm
3:26,"0,6 km",39 m,4:54/km,113 bpm,172 ppm
3:33,"0,6 km",39 m,4:53/km,113 bpm,172 ppm
3:40,"0,7 km",39 m,4:53/km,114 bpm,172 ppm
3:46,"0,7 km",39 m,4:46/km,112 bpm,174 ppm
3:53,"0,7 km",38 m,4:53/km,110 bpm,178 ppm
3:59,"0,7 km",38 m,5:07/km,110 bpm,174 ppm
4:06,"0,7 km",39 m,5:08/km,111 bpm,174 ppm
4:14,"0,8 km",38 m,4:36/km,109 bpm,174 ppm
4:21,"0,8 km",38 m,4:23/km,103 bpm,174 ppm
4:26,"0,8 km",37 m,4:16/km,102 bpm,174 ppm
4:30,"0,8 km",37 m,4:30/km,102 bpm,174 ppm
4:37,"0,9 km",38 m,4:40/km,104 bpm,176 ppm
4:46,"0,9 km",39 m,5:25/km,116 bpm,174 ppm
4:53,"0,9 km",39 m,5:31/km,118 bpm,170 ppm
5:01,"0,9 km",39 m,5:03/km,118 bpm,172 ppm
5:07,"0,9 km",38 m,4:56/km,117 bpm,172 ppm
5:14,"1,0 km",37 m,4:49/km,116 bpm,172 ppm
5:20,"1,0 km",37 m,5:00/km,115 bpm,172 ppm
5:26,"1,0 km",37 m,5:04/km,117 bpm,172 ppm
5:35,"1,0 km",36 m,4:50/km,122 bpm,172 ppm
5:42,"1,1 km",36 m,4:48/km,123 bpm,178 ppm
5:47,"1,1 km",36 m,4:39/km,123 bpm,174 ppm
5:53,"1,1 km",36 m,4:26/km,123 bpm,178 ppm
6:00,"1,1 km",35 m,4:36/km,124 bpm,174 ppm
6:06,"1,2 km",35 m,4:40/km,124 bpm,174 ppm
6:13,"1,2 km",34 m,4:30/km,122 bpm,178 ppm
6:18,"1,2 km",34 m,4:29/km,122 bpm,176 ppm
6:24,"1,2 km",33 m,4:31/km,122 bpm,178 ppm
6:31,"1,2 km",32 m,4:27/km,123 bpm,178 ppm
6:37,"1,3 km",32 m,4:24/km,123 bpm,178 ppm
6:43,"1,3 km",32 m,4:24/km,125 bpm,178 ppm
6:49,"1,3 km",31 m,4:16/km,125 bpm,178 ppm
6:55,"1,3 km",30 m,4:21/km,125 bpm,178 ppm
7:01,"1,4 km",30 m,4:32/km,122 bpm,176 ppm
7:07,"1,4 km",29 m,4:36/km,114 bpm,178 ppm
7:13,"1,4 km",29 m,4:34/km,112 bpm,178 ppm
7:20,"1,4 km",28 m,4:28/km,114 bpm,174 ppm
7:26,"1,5 km",28 m,4:23/km,114 bpm,174 ppm
7:31,"1,5 km",27 m,4:17/km,115 bpm,174 ppm
7:37,"1,5 km",27 m,4:20/km,121 bpm,176 ppm
7:43,"1,5 km",26 m,4:22/km,126 bpm,174 ppm
7:49,"1,5 km",26 m,4:28/km,124 bpm,176 ppm
7:55,"1,6 km",25 m,4:39/km,122 bpm,174 ppm
8:02,"1,6 km",25 m,4:54/km,121 bpm,174 ppm
8:09,"1,6 km",25 m,4:56/km,118 bpm,170 ppm
8:17,"1,6 km",26 m,5:05/km,120 bpm,172 ppm
8:23,"1,7 km",25 m,5:07/km,121 bpm,182 ppm
8:29,"1,7 km",24 m,5:03/km,122 bpm,178 ppm
8:37,"1,7 km",24 m,5:23/km,119 bpm,174 ppm
8:44,"1,7 km",25 m,5:25/km,120 bpm,174 ppm
8:53,"1,7 km",25 m,5:23/km,119 bpm,174 ppm
8:59,"1,8 km",25 m,5:05/km,117 bpm,172 ppm
