time,distance,elevation,pace,heartrate,cadence
9s,"0,0 km",4 m,4:51/km,90 bpm,172 ppm
20s,"0,0 km",4 m,4:28/km,101 bpm,172 ppm
33s,"0,1 km",3 m,4:40/km,112 bpm,172 ppm
45s,"0,1 km",2 m,4:32/km,115 bpm,172 ppm
58s,"0,2 km",3 m,4:32/km,122 bpm,172 ppm
1:09,"0,2 km",4 m,4:33/km,126 bpm,174 ppm
1:22,"0,2 km",6 m,4:54/km,128 bpm,174 ppm
1:36,"0,3 km",5 m,5:02/km,127 bpm,174 ppm
1:50,"0,3 km",4 m,5:42/km,126 bpm,178 ppm
2:06,"0,4 km",5 m,5:40/km,125 bpm,174 ppm
2:21,"0,4 km",2 m,5:09/km,127 bpm,174 ppm
2:34,"0,5 km",3 m,4:55/km,129 bpm,170 ppm
2:48,"0,5 km",4 m,4:57/km,127 bpm,172 ppm
3:01,"0,6 km",5 m,4:52/km,125 bpm,172 ppm
3:14,"0,6 km",6 m,4:44/km,125 bpm,172 ppm
3:27,"0,7 km",8 m,4:44/km,128 bpm,174 ppm
3:39,"0,7 km",10 m,5:06/km,128 bpm,176 ppm
3:55,"0,7 km",14 m,5:39/km,128 bpm,180 ppm
4:10,"0,8 km",18 m,5:35/km,125 bpm,180 ppm
4:25,"0,8 km",22 m,5:08/km,134 bpm,180 ppm
4:39,"0,9 km",23 m,4:36/km,140 bpm,180 ppm
4:51,"0,9 km",22 m,4:15/km,141 bpm,174 ppm
5:02,"1,0 km",20 m,4:01/km,139 bpm,176 ppm
5:12,"1,0 km",18 m,4:02/km,138 bpm,174 ppm
5:23,"1,1 km",16 m,4:10/km,130 bpm,174 ppm
5:35,"1,1 km",13 m,4:12/km,125 bpm,178 ppm
5:46,"1,1 km",11 m,4:09/km,124 bpm,174 ppm
5:57,"1,2 km",9 m,4:15/km,124 bpm,176 ppm
6:09,"1,2 km",8 m,4:16/km,121 bpm,178 ppm
6:21,"1,3 km",8 m,4:10/km,121 bpm,178 ppm
6:31,"1,3 km",7 m,4:06/km,125 bpm,174 ppm
6:43,"1,4 km",5 m,4:04/km,124 bpm,178 ppm
6:53,"1,4 km",5 m,3:57/km,122 bpm,178 ppm
7:04,"1,5 km",6 m,4:16/km,122 bpm,176 ppm
7:17,"1,5 km",3 m,4:11/km,124 bpm,174 ppm
7:27,"1,6 km",1 m,4:06/km,126 bpm,178 ppm
7:38,"1,6 km",0 m,4:13/km,125 bpm,178 ppm
7:50,"1,6 km",0 m,4:30/km,126 bpm,174 ppm
8:03,"1,7 km",2 m,4:39/km,126 bpm,174 ppm
8:15,"1,7 km",4 m,4:27/km,128 bpm,180 ppm
8:27,"1,8 km",4 m,4:11/km,128 bpm,174 ppm
8:38,"1,8 km",4 m,3:59/km,129 bpm,174 ppm
8:49,"1,9 km",6 m,4:26/km,129 bpm,176 ppm
9:02,"1,9 km",6 m,4:48/km,127 bpm,178 ppm
9:15,"2,0 km",6 m,4:28/km,124 bpm,178 ppm
9:26,"2,0 km",6 m,4:02/km,124 bpm,180 ppm
9:37,"2,0 km",6 m,4:12/km,124 bpm,174 ppm
9:49,"2,1 km",6 m,4:30/km,124 bpm,174 ppm
