time,distance,elevation,pace,heartrate,cadence
8s,"0,0 km",6 m,5:27/km,99 bpm,172 ppm
18s,"0,0 km",5 m,5:14/km,103 bpm,170 ppm
30s,"0,0 km",5 m,5:19/km,106 bpm,172 ppm
42s,"0,1 km",4 m,5:19/km,109 bpm,172 ppm
53s,"0,1 km",4 m,5:25/km,113 bpm,172 ppm
1:05,"0,2 km",4 m,5:15/km,113 bpm,170 ppm
1:16,"0,2 km",4 m,5:07/km,114 bpm,172 ppm
1:27,"0,2 km",5 m,4:56/km,115 bpm,172 ppm
1:38,"0,3 km",4 m,4:57/km,116 bpm,172 ppm
1:48,"0,3 km",5 m,5:05/km,120 bpm,172 ppm
2:00,"0,3 km",6 m,5:10/km,121 bpm,172 ppm
2:11,"0,4 km",6 m,5:09/km,121 bpm,172 ppm
2:22,"0,4 km",5 m,4:54/km,126 bpm,170 ppm
2:33,"0,4 km",3 m,4:54/km,125 bpm,170 ppm
2:43,"0,5 km",3 m,4:57/km,120 bpm,172 ppm
2:54,"0,5 km",3 m,5:07/km,113 bpm,172 ppm
3:06,"0,6 km",3 m,4:56/km,114 bpm,174 ppm
3:16,"0,6 km",4 m,4:48/km,117 bpm,174 ppm
3:26,"0,6 km",4 m,4:43/km,116 bpm,174 ppm
3:37,"0,7 km",5 m,4:51/km,116 bpm,174 ppm
3:48,"0,7 km",7 m,4:40/km,104 bpm,182 ppm
3:57,"0,7 km",6 m,4:37/km,105 bpm,174 ppm
4:07,"0,8 km",5 m,4:45/km,104 bpm,176 ppm
4:17,"0,8 km",5 m,5:19/km,111 bpm,172 ppm
4:31,"0,8 km",4 m,6:19/km,111 bpm,170 ppm
4:45,"0,9 km",4 m,6:20/km,111 bpm,172 ppm
4:59,"0,9 km",3 m,6:25/km,109 bpm,170 ppm
5:13,"0,9 km",3 m,6:13/km,108 bpm,170 ppm
5:26,"1,0 km",3 m,6:22/km,107 bpm,170 ppm
5:40,"1,0 km",4 m,6:32/km,106 bpm,170 ppm
5:55,"1,1 km",5 m,6:32/km,105 bpm,170 ppm
6:09,"1,1 km",6 m,6:34/km,103 bpm,172 ppm
6:24,"1,1 km",5 m,6:14/km,111 bpm,170 ppm
6:36,"1,2 km",4 m,6:07/km,109 bpm,170 ppm
6:49,"1,2 km",4 m,6:22/km,109 bpm,170 ppm
7:04,"1,2 km",4 m,6:23/km,106 bpm,170 ppm
7:17,"1,3 km",4 m,6:18/km,107 bpm,170 ppm
7:31,"1,3 km",3 m,6:00/km,109 bpm,170 ppm
7:44,"1,3 km",3 m,6:00/km,107 bpm,170 ppm
7:57,"1,4 km",4 m,6:09/km,106 bpm,170 ppm
8:10,"1,4 km",5 m,6:01/km,106 bpm,170 ppm
8:23,"1,5 km",6 m,6:10/km,103 bpm,168 ppm
8:37,"1,5 km",5 m,5:49/km,106 bpm,170 ppm
8:49,"1,5 km",4 m,5:40/km,110 bpm,170 ppm
9:01,"1,6 km",4 m,5:49/km,111 bpm,170 ppm
9:13,"1,6 km",4 m,5:59/km,105 bpm,170 ppm
9:28,"1,6 km",4 m,6:11/km,109 bpm,170 ppm
9:41,"1,7 km",3 m,5:56/km,106 bpm,170 ppm
9:54,"1,7 km",3 m,5:59/km,108 bpm,170 ppm
10:07,"1,7 km",4 m,6:05/km,112 bpm,168 ppm
10:20,"1,8 km",5 m,5:59/km,111 bpm,168 ppm
10:33,"1,8 km",6 m,6:06/km,111 bpm,168 ppm
10:47,"1,9 km",5 m,5:51/km,110 bpm,170 ppm
10:59,"1,9 km",4 m,5:39/km,109 bpm,168 ppm
11:11,"1,9 km",5 m,5:52/km,110 bpm,168 ppm
11:24,"2,0 km",4 m,6:05/km,108 bpm,168 ppm
11:38,"2,0 km",4 m,6:16/km,108 bpm,168 ppm
11:51,"2,0 km",3 m,5:58/km,110 bpm,170 ppm
12:03,"2,1 km",3 m,5:52/km,111 bpm,170 ppm
12:16,"2,1 km",4 m,6:03/km,101 bpm,168 ppm
12:30,"2,1 km",5 m,6:05/km,98 bpm,168 ppm
12:43,"2,2 km",6 m,6:10/km,98 bpm,168 ppm
12:57,"2,2 km",5 m,5:54/km,102 bpm,168 ppm
13:09,"2,3 km",4 m,5:44/km,101 bpm,168 ppm
13:21,"2,3 km",5 m,6:03/km,96 bpm,168 ppm
13:35,"2,3 km",4 m,6:11/km,99 bpm,168 ppm
13:49,"2,4 km",4 m,6:16/km,105 bpm,168 ppm
14:02,"2,4 km",3 m,5:56/km,98 bpm,168 ppm
14:14,"2,4 km",3 m,5:54/km,101 bpm,168 ppm
14:27,"2,5 km",4 m,6:06/km,101 bpm,168 ppm
14:41,"2,5 km",5 m,6:03/km,102 bpm,170 ppm
14:54,"2,5 km",6 m,6:07/km,97 bpm,168 ppm
15:07,"2,6 km",5 m,5:49/km,99 bpm,164 ppm
15:20,"2,6 km",4 m,5:49/km,105 bpm,166 ppm
15:32,"2,7 km",5 m,6:09/km,108 bpm,170 ppm
15:47,"2,7 km",4 m,6:27/km,111 bpm,166 ppm
16:01,"2,7 km",4 m,6:20/km,119 bpm,168 ppm
16:14,"2,8 km",3 m,6:12/km,117 bpm,168 ppm
16:27,"2,8 km",4 m,6:06/km,104 bpm,168 ppm
16:41,"2,8 km",5 m,6:20/km,107 bpm,168 ppm
16:55,"2,9 km",6 m,6:19/km,110 bpm,170 ppm
17:08,"2,9 km",6 m,6:10/km,111 bpm,170 ppm
17:22,"2,9 km",5 m,5:57/km,113 bpm,168 ppm
17:34,"3,0 km",5 m,5:45/km,115 bpm,164 ppm
17:46,"3,0 km",5 m,6:05/km,111 bpm,168 ppm
18:01,"3,0 km",4 m,6:18/km,111 bpm,164 ppm
18:14,"3,1 km",4 m,6:04/km,111 bpm,168 ppm
18:27,"3,1 km",3 m,5:54/km,114 bpm,172 ppm
18:40,"3,2 km",4 m,5:54/km,117 bpm,170 ppm
18:53,"3,2 km",5 m,6:08/km,117 bpm,168 ppm
19:07,"3,2 km",6 m,6:00/km,114 bpm,170 ppm
19:19,"3,3 km",6 m,5:45/km,109 bpm,170 ppm
19:32,"3,3 km",5 m,5:40/km,105 bpm,170 ppm
19:44,"3,3 km",5 m,5:41/km,106 bpm,166 ppm
19:56,"3,4 km",5 m,6:00/km,107 bpm,168 ppm
20:11,"3,4 km",4 m,6:07/km,102 bpm,168 ppm
20:22,"3,4 km",4 m,5:53/km,104 bpm,168 ppm
20:36,"3,5 km",4 m,5:51/km,103 bpm,164 ppm
20:48,"3,5 km",4 m,5:50/km,108 bpm,164 ppm
21:01,"3,6 km",6 m,6:00/km,113 bpm,168 ppm
21:15,"3,6 km",6 m,5:59/km,113 bpm,168 ppm
21:27,"3,6 km",6 m,5:43/km,111 bpm,170 ppm
21:39,"3,7 km",5 m,5:39/km,108 bpm,166 ppm
21:52,"3,7 km",5 m,5:49/km,108 bpm,170 ppm
22:04,"3,7 km",5 m,6:10/km,108 bpm,168 ppm
22:19,"3,8 km",4 m,6:20/km,108 bpm,166 ppm
22:32,"3,8 km",4 m,5:55/km,105 bpm,170 ppm
22:45,"3,8 km",4 m,5:52/km,108 bpm,170 ppm
22:57,"3,9 km",4 m,5:45/km,106 bpm,168 ppm
23:10,"3,9 km",6 m,5:57/km,106 bpm,168 ppm
23:24,"4,0 km",6 m,5:56/km,98 bpm,168 ppm
23:36,"4,0 km",6 m,5:38/km,99 bpm,170 ppm
23:48,"4,0 km",5 m,5:45/km,98 bpm,164 ppm
24:01,"4,1 km",5 m,5:56/km,106 bpm,168 ppm
24:14,"4,1 km",5 m,6:14/km,106 bpm,170 ppm
24:28,"4,1 km",4 m,6:27/km,106 bpm,166 ppm
24:42,"4,2 km",4 m,6:00/km,108 bpm,168 ppm
24:55,"4,2 km",4 m,6:02/km,107 bpm,168 ppm
25:08,"4,2 km",4 m,5:53/km,104 bpm,166 ppm
25:20,"4,3 km",6 m,6:00/km,105 bpm,168 ppm
25:34,"4,3 km",6 m,5:53/km,99 bpm,168 ppm
25:46,"4,4 km",6 m,5:31/km,100 bpm,168 ppm
25:58,"4,4 km",5 m,5:36/km,99 bpm,164 ppm
26:10,"4,4 km",5 m,5:46/km,99 bpm,168 ppm
26:23,"4,5 km",5 m,6:16/km,101 bpm,170 ppm
26:38,"4,5 km",4 m,6:17/km,107 bpm,168 ppm
26:51,"4,5 km",4 m,5:47/km,107 bpm,168 ppm
27:03,"4,6 km",4 m,5:40/km,103 bpm,168 ppm
27:15,"4,6 km",4 m,5:40/km,105 bpm,168 ppm
27:28,"4,6 km",6 m,5:39/km,106 bpm,170 ppm
27:40,"4,7 km",6 m,5:44/km,109 bpm,172 ppm
27:53,"4,7 km",5 m,5:40/km,108 bpm,170 ppm
28:05,"4,8 km",5 m,5:37/km,104 bpm,172 ppm
28:17,"4,8 km",5 m,6:02/km,113 bpm,172 ppm
28:30,"4,8 km",5 m,6:00/km,117 bpm,172 ppm
28:44,"4,9 km",4 m,6:01/km,122 bpm,172 ppm
28:57,"4,9 km",4 m,5:32/km,123 bpm,172 ppm
29:08,"4,9 km",4 m,5:34/km,120 bpm,172 ppm
29:20,"5,0 km",5 m,5:40/km,120 bpm,170 ppm
29:33,"5,0 km",6 m,5:41/km,119 bpm,172 ppm
29:45,"5,0 km",6 m,5:43/km,115 bpm,170 ppm
29:58,"5,1 km",5 m,5:34/km,111 bpm,172 ppm
30:10,"5,1 km",5 m,5:20/km,114 bpm,170 ppm
30:21,"5,1 km",5 m,5:46/km,115 bpm,172 ppm
30:35,"5,2 km",5 m,5:46/km,111 bpm,172 ppm
30:47,"5,2 km",4 m,5:29/km,117 bpm,170 ppm
30:58,"5,3 km",4 m,5:27/km,120 bpm,170 ppm
31:10,"5,3 km",4 m,5:27/km,114 bpm,172 ppm
31:22,"5,3 km",5 m,5:46/km,114 bpm,172 ppm
31:36,"5,4 km",6 m,5:47/km,119 bpm,170 ppm
31:47,"5,4 km",6 m,5:29/km,119 bpm,172 ppm
31:59,"5,4 km",5 m,5:20/km,118 bpm,172 ppm
