time,distance,elevation,pace,heartrate,cadence
19s,"0,0 km",6 m,5:03/km,100 bpm,166 ppm
32s,"0,1 km",5 m,4:51/km,111 bpm,168 ppm
44s,"0,1 km",3 m,4:37/km,102 bpm,164 ppm
54s,"0,1 km",4 m,4:33/km,110 bpm,164 ppm
1:06,"0,2 km",4 m,4:45/km,114 bpm,164 ppm
1:18,"0,2 km",5 m,4:51/km,119 bpm,164 ppm
1:31,"0,3 km",5 m,4:47/km,122 bpm,164 ppm
1:42,"0,3 km",5 m,4:39/km,123 bpm,166 ppm
1:54,"0,3 km",5 m,4:59/km,123 bpm,166 ppm
2:06,"0,4 km",6 m,4:49/km,121 bpm,166 ppm
2:18,"0,4 km",5 m,4:43/km,116 bpm,166 ppm
2:29,"0,5 km",4 m,4:42/km,118 bpm,166 ppm
2:41,"0,5 km",3 m,4:42/km,120 bpm,166 ppm
2:53,"0,6 km",4 m,4:25/km,122 bpm,168 ppm
3:03,"0,6 km",4 m,4:25/km,125 bpm,166 ppm
3:14,"0,6 km",5 m,4:24/km,124 bpm,168 ppm
3:25,"0,7 km",5 m,4:29/km,124 bpm,168 ppm
3:36,"0,7 km",5 m,4:34/km,123 bpm,166 ppm
3:48,"0,8 km",6 m,4:49/km,123 bpm,168 ppm
4:00,"0,8 km",6 m,4:45/km,125 bpm,166 ppm
4:11,"0,8 km",4 m,4:28/km,122 bpm,166 ppm
4:22,"0,9 km",3 m,4:25/km,122 bpm,168 ppm
4:33,"0,9 km",4 m,4:29/km,124 bpm,168 ppm
4:45,"1,0 km",4 m,4:31/km,128 bpm,168 ppm
4:56,"1,0 km",5 m,4:24/km,125 bpm,166 ppm
5:07,"1,0 km",5 m,4:25/km,123 bpm,168 ppm
5:17,"1,1 km",5 m,4:28/km,122 bpm,166 ppm
5:29,"1,1 km",6 m,4:45/km,125 bpm,166 ppm
5:41,"1,2 km",6 m,4:33/km,128 bpm,166 ppm
5:52,"1,2 km",5 m,4:16/km,127 bpm,168 ppm
6:02,"1,3 km",4 m,4:14/km,129 bpm,168 ppm
6:13,"1,3 km",3 m,4:26/km,126 bpm,168 ppm
6:24,"1,3 km",4 m,4:17/km,127 bpm,168 ppm
6:34,"1,4 km",4 m,4:13/km,129 bpm,166 ppm
6:45,"1,4 km",5 m,4:05/km,127 bpm,170 ppm
6:55,"1,5 km",5 m,4:12/km,126 bpm,170 ppm
7:05,"1,5 km",5 m,4:17/km,128 bpm,170 ppm
7:16,"1,5 km",6 m,4:26/km,126 bpm,170 ppm
7:27,"1,6 km",6 m,4:20/km,125 bpm,168 ppm
7:37,"1,6 km",4 m,4:10/km,125 bpm,168 ppm
7:48,"1,7 km",3 m,4:14/km,128 bpm,168 ppm
7:58,"1,7 km",4 m,4:10/km,131 bpm,168 ppm
8:09,"1,7 km",4 m,4:06/km,134 bpm,166 ppm
8:18,"1,8 km",5 m,4:03/km,136 bpm,168 ppm
8:29,"1,8 km",5 m,4:04/km,137 bpm,170 ppm
8:38,"1,9 km",5 m,4:09/km,134 bpm,168 ppm
8:49,"1,9 km",5 m,4:22/km,131 bpm,168 ppm
9:00,"2,0 km",6 m,4:16/km,133 bpm,168 ppm
9:11,"2,0 km",5 m,4:05/km,135 bpm,168 ppm
9:21,"2,0 km",4 m,4:06/km,130 bpm,168 ppm
9:31,"2,1 km",3 m,4:10/km,131 bpm,166 ppm
9:41,"2,1 km",4 m,4:03/km,134 bpm,168 ppm
9:51,"2,2 km",4 m,4:02/km,138 bpm,166 ppm
10:01,"2,2 km",5 m,3:58/km,139 bpm,168 ppm
10:11,"2,2 km",5 m,4:03/km,138 bpm,170 ppm
10:21,"2,3 km",5 m,4:08/km,138 bpm,166 ppm
10:31,"2,3 km",6 m,4:14/km,137 bpm,168 ppm
10:42,"2,4 km",6 m,4:12/km,138 bpm,168 ppm
10:52,"2,4 km",5 m,4:06/km,136 bpm,168 ppm
11:03,"2,5 km",3 m,4:04/km,135 bpm,168 ppm
11:12,"2,5 km",4 m,3:50/km,134 bpm,168 ppm
11:22,"2,5 km",4 m,3:53/km,133 bpm,170 ppm
11:31,"2,6 km",5 m,3:47/km,133 bpm,166 ppm
11:41,"2,6 km",5 m,3:53/km,134 bpm,170 ppm
11:50,"2,7 km",5 m,3:58/km,136 bpm,170 ppm
12:00,"2,7 km",5 m,4:15/km,137 bpm,168 ppm
12:11,"2,7 km",6 m,4:16/km,133 bpm,168 ppm
12:22,"2,8 km",5 m,4:13/km,131 bpm,168 ppm
12:31,"2,8 km",4 m,4:02/km,133 bpm,166 ppm
12:41,"2,9 km",3 m,4:09/km,134 bpm,166 ppm
12:52,"2,9 km",4 m,4:01/km,133 bpm,168 ppm
13:02,"2,9 km",4 m,4:02/km,131 bpm,166 ppm
13:11,"3,0 km",5 m,4:02/km,130 bpm,168 ppm
13:22,"3,0 km",5 m,4:08/km,132 bpm,166 ppm
13:32,"3,1 km",5 m,4:10/km,133 bpm,166 ppm
13:43,"3,1 km",6 m,4:22/km,133 bpm,168 ppm
13:54,"3,2 km",6 m,4:16/km,133 bpm,166 ppm
14:04,"3,2 km",5 m,4:10/km,133 bpm,170 ppm
14:14,"3,2 km",3 m,4:08/km,135 bpm,166 ppm
14:24,"3,3 km",3 m,4:02/km,135 bpm,168 ppm
14:35,"3,3 km",4 m,4:01/km,136 bpm,170 ppm
14:44,"3,4 km",5 m,4:03/km,135 bpm,168 ppm
14:55,"3,4 km",5 m,4:04/km,133 bpm,168 ppm
15:04,"3,4 km",4 m,4:01/km,133 bpm,168 ppm
15:14,"3,5 km",5 m,4:13/km,132 bpm,168 ppm
15:25,"3,5 km",6 m,4:10/km,134 bpm,168 ppm
15:35,"3,6 km",6 m,4:10/km,134 bpm,166 ppm
15:45,"3,6 km",4 m,4:02/km,134 bpm,166 ppm
15:55,"3,6 km",3 m,4:05/km,132 bpm,168 ppm
16:05,"3,7 km",4 m,3:56/km,133 bpm,168 ppm
16:15,"3,7 km",4 m,3:51/km,136 bpm,170 ppm
16:24,"3,8 km",5 m,3:50/km,137 bpm,168 ppm
16:34,"3,8 km",5 m,3:51/km,139 bpm,168 ppm
16:43,"3,9 km",5 m,3:59/km,140 bpm,166 ppm
16:53,"3,9 km",6 m,4:13/km,139 bpm,166 ppm
17:05,"3,9 km",6 m,4:03/km,137 bpm,170 ppm
17:14,"4,0 km",5 m,3:56/km,133 bpm,166 ppm
17:24,"4,0 km",4 m,4:08/km,135 bpm,166 ppm
17:34,"4,1 km",3 m,4:07/km,132 bpm,166 ppm
17:44,"4,1 km",4 m,3:53/km,132 bpm,168 ppm
17:53,"4,1 km",5 m,3:49/km,132 bpm,166 ppm
18:03,"4,2 km",5 m,3:54/km,133 bpm,168 ppm
18:13,"4,2 km",5 m,4:02/km,133 bpm,168 ppm
18:23,"4,3 km",5 m,4:05/km,134 bpm,168 ppm
18:33,"4,3 km",6 m,4:09/km,137 bpm,168 ppm
18:44,"4,3 km",6 m,4:06/km,138 bpm,168 ppm
18:53,"4,4 km",4 m,3:47/km,140 bpm,170 ppm
19:03,"4,4 km",3 m,3:58/km,141 bpm,170 ppm
19:12,"4,5 km",4 m,3:53/km,141 bpm,170 ppm
19:22,"4,5 km",4 m,3:52/km,143 bpm,170 ppm
19:31,"4,6 km",5 m,3:52/km,144 bpm,166 ppm
19:42,"4,6 km",5 m,3:58/km,148 bpm,170 ppm
19:51,"4,6 km",5 m,3:56/km,147 bpm,170 ppm
20:01,"4,7 km",6 m,4:12/km,142 bpm,170 ppm
20:12,"4,7 km",6 m,4:09/km,138 bpm,170 ppm
20:22,"4,8 km",5 m,4:00/km,140 bpm,170 ppm
20:32,"4,8 km",4 m,3:53/km,140 bpm,168 ppm
20:41,"4,8 km",3 m,4:00/km,137 bpm,166 ppm
20:51,"4,9 km",4 m,3:51/km,136 bpm,168 ppm
21:00,"4,9 km",5 m,3:57/km,136 bpm,168 ppm
21:10,"5,0 km",5 m,3:56/km,136 bpm,168 ppm
21:20,"5,0 km",5 m,4:02/km,137 bpm,168 ppm
21:30,"5,0 km",5 m,3:59/km,136 bpm,166 ppm
21:40,"5,1 km",6 m,4:09/km,136 bpm,168 ppm
21:51,"5,1 km",6 m,3:57/km,137 bpm,168 ppm
22:00,"5,2 km",5 m,3:55/km,137 bpm,168 ppm
22:10,"5,2 km",3 m,4:03/km,136 bpm,166 ppm
22:20,"5,3 km",4 m,4:08/km,134 bpm,166 ppm
22:30,"5,3 km",4 m,3:59/km,134 bpm,172 ppm
22:40,"5,3 km",5 m,4:05/km,134 bpm,166 ppm
22:51,"5,4 km",5 m,4:01/km,133 bpm,168 ppm
23:00,"5,4 km",5 m,3:58/km,133 bpm,166 ppm
23:10,"5,5 km",6 m,4:07/km,134 bpm,168 ppm
23:20,"5,5 km",6 m,4:01/km,135 bpm,168 ppm
23:30,"5,5 km",6 m,3:57/km,135 bpm,168 ppm
23:40,"5,6 km",4 m,3:55/km,134 bpm,168 ppm
23:49,"5,6 km",3 m,4:02/km,133 bpm,168 ppm
23:59,"5,7 km",4 m,3:53/km,136 bpm,168 ppm
24:09,"5,7 km",4 m,3:56/km,136 bpm,166 ppm
24:18,"5,7 km",5 m,3:59/km,134 bpm,168 ppm
24:29,"5,8 km",5 m,4:08/km,135 bpm,168 ppm
24:39,"5,8 km",5 m,4:04/km,137 bpm,166 ppm
24:49,"5,9 km",6 m,4:10/km,136 bpm,168 ppm
25:00,"5,9 km",6 m,4:05/km,137 bpm,168 ppm
25:09,"6,0 km",5 m,3:50/km,138 bpm,170 ppm
25:19,"6,0 km",3 m,3:57/km,140 bpm,168 ppm
25:29,"6,0 km",4 m,3:56/km,141 bpm,168 ppm
25:39,"6,1 km",4 m,3:52/km,137 bpm,168 ppm
25:48,"6,1 km",5 m,4:04/km,135 bpm,168 ppm
25:59,"6,2 km",5 m,4:08/km,134 bpm,168 ppm
26:09,"6,2 km",5 m,4:02/km,135 bpm,168 ppm
26:18,"6,2 km",6 m,4:07/km,134 bpm,168 ppm
26:29,"6,3 km",6 m,4:05/km,133 bpm,170 ppm
26:39,"6,3 km",5 m,4:02/km,136 bpm,170 ppm
26:49,"6,4 km",4 m,3:53/km,135 bpm,170 ppm
26:58,"6,4 km",3 m,3:57/km,135 bpm,168 ppm
27:08,"6,5 km",4 m,3:54/km,134 bpm,170 ppm
27:18,"6,5 km",5 m,3:51/km,136 bpm,168 ppm
27:27,"6,5 km",5 m,3:47/km,135 bpm,170 ppm
27:36,"6,6 km",5 m,3:52/km,137 bpm,170 ppm
