"","time","distance","elevation","pace","heartrate","cadence"
"1",19,0,5,261,104,170
"2",26,0,5,249,112,170
"3",36,0.1,5,286,111,172
"4",49,0.1,5,259,115,172
"5",59,0.2,5,280,117,170
"6",69,0.2,6,278,116,170
"7",80,0.2,6,286,115,172
"8",91,0.3,5,256,115,172
"9",102,0.3,4,302,117,172
"10",73,0.3,4,302,113,170
"11",125,0.4,4,308,111,170
"12",136,0.4,4,302,104,172
"13",147,0.5,4,302,112,170
"14",159,0.5,4,310,112,170
"15",131,0.5,4,305,110,170
"16",182,0.6,5,316,111,168
"17",194,0.6,5,302,112,172
"18",205,0.6,4,310,108,172
"19",217,0.7,4,301,108,170
"20",228,0.7,4,258,108,168
"21",199,0.8,5,290,111,172
"22",250,0.8,6,278,110,170
"23",260,0.8,7,266,113,172
"24",270,0.9,7,265,113,172
"25",280,0.9,8,279,115,176
"26",290,0.9,9,290,117,178
"27",302,1,9,253,117,176
"28",313,1,9,267,116,172
"29",323,1.1,7,265,115,174
"30",333,1.1,5,242,104,174
"31",342,1.1,5,227,106,174
"32",310,1.2,4,195,104,174
"33",318,1.2,5,248,107,174
"34",368,1.2,6,268,113,172
"35",379,1.3,6,280,120,172
"36",390,1.3,5,275,125,170
"37",400,1.4,4,268,125,172
"38",410,1.4,2,265,123,170
"39",420,1.4,1,282,123,172
"40",430,1.5,0,275,120,172
"41",441,1.5,0,284,119,178
"42",451,1.5,1,278,117,170
"43",462,1.6,2,278,112,170
"44",432,1.6,2,270,111,172
"45",482,1.7,2,264,112,170
"46",492,1.7,2,263,113,170
"47",502,1.7,3,265,114,170
"48",512,1.8,3,270,116,168
"49",522,1.8,3,276,117,172
"50",492,1.8,3,278,119,172
"51",543,1.9,2,282,117,172
"52",553,1.9,2,270,118,172
"53",563,2,1,272,120,172
"54",574,2,0,276,122,172
"55",585,2,2,263,124,174
"56",554,2.1,0,251,122,174
"57",603,2.1,2,259,122,174
"58",614,2.2,3,276,120,172
"59",623,2.2,5,305,120,172
"60",637,2.2,7,285,119,172
"61",646,2.3,8,250,119,178
"62",615,2.3,9,240,119,174
"63",663,2.3,10,252,123,172
"64",674,2.4,10,274,124,176
"65",684,2.4,10,269,126,172
"66",694,2.4,10,267,125,174
"67",704,2.5,10,256,121,178
"68",674,2.5,9,267,121,174
"69",724,2.6,9,265,124,172
"70",733,2.6,10,268,124,174
"71",744,2.6,10,264,122,174
"72",753,2.7,9,272,120,174
"73",764,2.7,2,267,118,174
"74",734,2.7,1,273,119,178
"75",783,2.8,0,268,120,178
"76",795,2.8,3,261,124,172
"77",804,2.9,3,196,126,184
"78",812,2.9,5,190,127,178
"79",821,2.9,4,196,127,172
"80",790,3,5,197,128,170
"81",799,3,6,261,126,172
"82",849,3,6,287,126,172
"83",861,3.1,6,278,127,172
"84",871,3.1,6,244,127,172
"85",879,3.2,6,226,127,172
"86",888,3.2,6,269,125,172
"87",857,3.2,6,288,124,172
"88",911,3.3,6,271,125,172
"89",919,3.3,6,225,126,172
"90",927,3.3,6,246,125,172
"91",938,3.4,6,259,124,172
"92",947,3.4,6,254,124,172
"93",917,3.5,6,246,124,174
"94",966,3.5,6,245,125,174
"95",975,3.5,6,250,131,174
"96",985,3.6,5,261,129,174
"97",994,3.6,5,265,126,170
"98",1005,3.7,5,271,123,172
"99",975,3.7,5,253,124,172
"100",1024,3.7,5,196,125,172
"101",1032,3.8,4,229,126,174
"102",1041,3.8,4,195,128,172
"103",1050,3.8,4,251,128,174
"104",1060,3.9,5,260,129,174
"105",1030,3.9,3,265,129,174
"106",1080,4,2,261,128,174
"107",1089,4,3,259,123,172
"108",1099,4,3,273,125,172
"109",1110,4.1,4,261,126,174
"110",1119,4.1,6,256,129,174
"111",1128,4.1,6,245,131,174
"112",1098,4.2,6,281,131,176
"113",1148,4.2,6,300,131,176
"114",1162,4.3,7,252,129,174
"115",1171,4.3,7,248,128,172
"116",1180,4.3,7,244,128,178
"117",1189,4.4,7,252,127,174
"118",1159,4.4,6,259,125,170
"119",1209,4.4,5,245,126,170
"120",1218,4.5,4,199,127,170
"121",1226,4.5,4,243,128,172
"122",1236,4.6,4,247,126,172
"123",1245,4.6,5,252,125,170
"124",1215,4.6,5,244,126,172
"125",1264,4.7,5,250,126,172
"126",1273,4.7,5,250,128,170
"127",1283,4.7,6,261,128,172
"128",1293,4.8,6,251,128,170
"129",1302,4.8,4,196,128,174
"130",1271,4.9,3,199,129,170
"131",1279,4.9,3,242,127,170
"132",1329,4.9,4,246,130,170
"133",1338,5,4,252,131,170
"134",1347,5,5,246,132,172
"135",1357,5,4,244,132,170
"136",1366,5.1,5,243,131,170
"137",1335,5.1,6,256,130,172
"138",1386,5.2,5,252,132,170
"139",1394,5.2,5,243,131,172
"140",1403,5.2,3,243,131,170
"141",1413,5.3,3,250,132,172
"142",1422,5.3,4,250,134,172
"143",1392,5.3,4,253,135,170
"144",1441,5.4,5,248,135,172
"145",1450,5.4,4,246,134,172
"146",1459,5.5,5,244,132,172
"147",1468,5.5,6,256,132,172
"148",1479,5.5,6,251,135,172
"149",1487,5.6,5,240,136,172
"150",1457,5.6,3,196,136,174
"151",1505,5.6,3,199,137,170
"152",1514,5.7,4,249,135,170
"153",1524,5.7,4,252,132,170
"154",1533,5.8,5,249,132,172
"155",1543,5.8,4,246,132,172
"156",1512,5.8,4,246,132,172
"157",1561,5.9,6,253,134,172
"158",1571,5.9,5,247,134,172
"159",1580,5.9,5,196,134,172
"160",1589,6,3,194,133,172
"161",1597,6,3,193,136,170
"162",1606,6.1,3,246,131,172
"163",1576,6.1,4,253,130,170
"164",1625,6.1,5,256,131,170
"165",1635,6.2,4,251,131,172
"166",1644,6.2,4,246,131,170
"167",1653,6.2,5,257,131,172
"168",1663,6.3,6,250,131,172
"169",1632,6.3,5,197,140,172
"170",1681,6.4,3,227,143,172
"171",1689,6.4,3,192,138,172
"172",1698,6.4,3,242,133,172
"173",1707,6.5,3,243,134,174
"174",1717,6.5,5,241,135,174
"175",1726,6.5,4,194,135,174
"176",1694,6.6,5,194,134,174
"177",1743,6.6,6,249,132,174
"178",1752,6.7,7,252,133,178
"179",1763,6.7,7,247,135,174
"180",1771,6.7,7,196,135,174
"181",1780,6.8,6,261,134,174
"182",1751,6.8,7,278,136,172
"183",1802,6.8,6,249,134,174
"184",1810,6.9,5,254,134,174
"185",1820,6.9,5,242,131,174
"186",1828,7,4,248,128,174
"187",1838,7,3,241,129,174
"188",1846,7,3,248,133,174
"189",1817,7.1,3,262,136,174
"190",1866,7.1,2,255,135,170
"191",1876,7.1,3,254,136,172
"192",1886,7.2,5,246,136,172
"193",1895,7.2,4,242,140,172
"194",1904,7.3,4,246,138,174
"195",1873,7.3,4,245,139,174
"196",1922,7.3,5,257,137,174
"197",1932,7.4,5,258,128,174
"198",1942,7.4,5,253,120,174
"199",1951,7.4,5,245,119,174
"200",1960,7.5,5,243,120,174
"201",1969,7.5,6,247,124,172
"202",1939,7.6,6,248,128,172
"203",1988,7.6,6,197,126,178
"204",1997,7.6,6,199,125,178
"205",2006,7.7,6,245,122,174
"206",2015,7.7,6,254,123,174
"207",2025,7.7,6,248,123,174
"208",1994,7.8,6,247,124,174
"209",2043,7.8,6,250,122,176
"210",2053,7.9,6,242,108,174
"211",2062,7.9,6,197,109,174
"212",2070,7.9,6,199,110,174
"213",2080,8,6,227,115,176
"214",2088,8,6,213,126,176
"215",2055,8,5,215,136,178
"216",2104,8.1,4,229,136,178
"217",2113,8.1,4,240,135,184
"218",2122,8.2,5,229,133,174
"219",2130,8.2,3,215,135,170
"220",2138,8.2,2,205,138,170
"221",2146,8.3,0,209,139,176
"222",2113,8.3,0,222,140,174
"223",2162,8.3,0,229,139,172
"224",2171,8.4,2,197,138,172
"225",2180,8.4,5,195,138,172
"226",2189,8.5,6,196,137,176
"227",2198,8.5,4,245,136,176
"228",2207,8.5,6,266,139,174
"229",2178,8.6,7,273,142,174
"230",2228,8.6,8,264,145,174
"231",2237,8.6,8,249,146,178
"232",2247,8.7,9,254,148,176
"233",2256,8.7,10,262,150,178
"234",2267,8.8,12,275,150,178
"235",2237,8.8,13,256,150,174
"236",2286,8.8,15,250,149,174
"237",2295,8.9,17,249,152,174
"238",2305,8.9,19,271,147,174
"239",2315,8.9,21,285,144,174
"240",2327,9,23,301,147,174
"241",2298,9,23,285,148,170
"242",2349,9.1,22,259,149,172
"243",2358,9.1,19,227,149,178
"244",2366,9.1,16,214,153,178
"245",2374,9.2,13,214,157,178
"246",2381,9.2,10,245,156,174
"247",2353,9.2,8,259,159,178
"248",2402,9.3,7,252,159,176
"249",2411,9.3,6,247,158,176
"250",2421,9.4,5,254,158,174
"251",2430,9.4,4,246,157,174
"252",2439,9.4,3,253,154,170
"253",2449,9.5,2,248,155,172
"254",2418,9.5,3,227,158,170
"255",2466,9.5,5,196,165,186
"256",2475,9.6,4,262,167,178
"257",2487,9.6,5,262,170,174
"258",2495,9.7,6,222,171,178
"259",2504,9.7,5,194,171,174
"260",2473,9.7,3,241,172,174
"261",2522,9.8,3,249,172,174
"262",2531,9.8,2,274,173,174
"263",2543,9.8,4,283,176,174
"264",2553,9.9,4,265,174,174
"265",2563,9.9,4,245,174,172
"266",2531,10,5,245,171,172
